plant genotype,location,total number,identity,exp
WT,1,39,C,6
WT,6,65,C,6
WT,9,47,C,6
WT,14,76,C,6
WT,20,66,C,6
LBD23-4,2,42,LBD23-4,6
LBD23-4,5,48,LBD23-4,6
LBD23-4,10,0,LBD23-4,6
LBD23-4,13,31,LBD23-4,6
LBD23-4,17,14,LBD23-4,6
LBD22-9,3,27,LBD22-9,6
LBD22-9,7,19,LBD22-9,6
LBD22-9,12,37,LBD22-9,6
LBD22-9,16,70,LBD22-9,6
LBD22-9,18,40,LBD22-9,6
LBD23-8,4,28,LBD23-8,6
LBD23-8,8,23,LBD23-8,6
LBD23-8,11,2,LBD23-8,6
LBD23-8,15,23,LBD23-8,6
LBD23-8,19,3,LBD23-8,6
WT,1,77,C,8
WT,9,106,C,8
WT,14,45,C,8
WT,20,63,C,8
LBD26-6,2,39,LBD26-6,8
LBD26-6,7,24,LBD26-6,8
LBD26-6,11,62,LBD26-6,8
LBD26-6,17,34,LBD26-6,8
LBD26-6,19,16,LBD26-6,8
LBD28-8,3,28,LBD28-8,8
LBD28-8,8,23,LBD28-8,8
LBD28-8,12,61,LBD28-8,8
LBD28-8,15,46,LBD28-8,8
LBD28-8,16,25,LBD28-8,8
LBD23-23,5,28,LBD23-23,8
LBD23-23,13,14,LBD23-23,8
WT,1,24,C,9
WT,6,48,C,9
WT,9,51,C,9
WT,13,64,C,9
WT,19,66,C,9
LBD26-10,2,12,LBD26-10,9
LBD26-10,8,33,LBD26-10,9
LBD26-10,10,22,LBD26-10,9
LBD26-10,14,18,LBD26-10,9
LBD26-10,17,8,LBD26-10,9
LBD26-10,20,26,LBD26-10,9
LBD23-10,3,0,LBD23-10,9
LBD23-10,4,0,LBD23-10,9
LBD23-10,7,19,LBD23-10,9
LBD23-10,11,0,LBD23-10,9
LBD23-10,15,1,LBD23-10,9
LBD23-10,18,0,LBD23-10,9
LBD22-14,5,25,LBD22-14,9
LBD22-14,12,37,LBD22-14,9
LBD22-14,16,42,LBD22-14,9
